47_Daisies,Consumer_Buying_Clubs,Certified_Organic,Alpaca,animal,animal
A_Wrinkle_in_Thyme_Farm,Corporate_Gift_Sales,Farm_Stand,Angora_Goat,animal,attribute
Abundant_Acres_Farm,Corporate/Business,Farmers_Market,Apples,fruit,bags
Acorn_Farms,Distributors,CSA,Asian_Greens,vegetable,berries
Agricola_Farms,Florists,,Asparagus,vegetable,bulb
Alewive's_Brook_Farm,Jails/Prisons/Other,,Barley,grains,
AllerGeena_Gluten_Free_Baked_Goods,Nursing_Homes,,Beef,meat,bushel
Alpaca_Fields_Inc.,Schools,,Beets,tuber,certification
Apple_Acres_Farm,Yarn_Shops,,Blackberries,fruit,commercial
Apple_Creek_Farm_LLC,,,Broccoli,vegetable,dairy
Apple_Ridge_Farm_&_Sugar_Shack,,,Brussels_Sprouts,vegetable,dairymeat
Applewald_Farm,,,Buckwheat,grain,dead_tree
Aroostook_Valley_Honey_Farm,,,Buffalo,meat,earlyspring
Ash_Hill_View_Deer_Farm,,,Cabbage,vegetable,educationalinstitutions
Avalon_Acres_Orchard_&_Farm,,,Canola,vegetable,egg
B_&_F_Vegetables,,,Carrots,vegetable,eggs
Bacon_Farm_Maple_ProductsLLC,,,Cashmere,fiber,familyowned
Bag_End_Suri_Alpacas_of_Maine_LLC,,,Celery,vegetable,farm
Bailey's_Orchard,,,Cheese,dairy,fiber
Baker's_Maple_Syrup,,,Chicken,meat,flower
Balsam_Ridge_Christmas_Tree_Farm,,,Christmas_Trees,tree,
Bayside_Chocolates,,,Corn,vegetable,freerange
Bear_Mountain_Apiaries,,,Cranberries,fruit,fruit
Beaver_Hill_Plantation,,,Cucumbers,vegetables,
Beddington_Ridge_Farm,,,Dairy_Cows,dairy/meat,fungi
Beech_Hill_Farm,,,Dairy_Goats,dairy/meat,gourd
Beech_Hill_Farm_&_Bison_Ranch,,,Dried_Herbs_and_Seasonings,herb,grain
Bell_Farms_Inc,,,Dry_Beans,vegetables,
Belliveau's_Maple_Syrup,,,Dry_Peas,vegetables,harvest
Benoit_Orchard,,,Duck,meat,healthcareinstituion
Benson_Farm_Earth_Products,,,Eggs,egg,herb
Berry_Best_Farm,,,Elderberries,fruit,highereducation
Berry_Fruit_Farm,,,Emmer,grain,honey
Bessey_Ridge_Farms_LLC,,,Firewood,tree,hospitals
Bleuberet,,,Flowers,flower,institution
Blue_Vue_Enterprise,,,Fresh_Beans,stems,latespring
Blueberry_Hill_Farm,,,Fresh_Herbs,herb,lbs
Bob's_Sugarhouse,,,Garlic,tubers,leaf
Boothby's_Orchard_and_Farm_Winery,,,Geese,meat,
Bowley_Brook_Maple_Syrup,,,Grape,fruit,legumes
Bradbury's_Maple_Farms,,,Goat,meat,maplesyrup
Bradstreet_Farms,,,Goats_Milk,dairy,meat
Branch_Camp_Wood_Products,,,Goose,meat,non-gmo
Breakneck_Ridge_Farm,,,Hay,grain,nut
Breakwater_Vineyards,,,Highbush_Blueberries,fruit,organic
BrightBerry_Farm,,,Highbush_Blueberry_Plants,tree,oz
Brookridge_Boilers,,,Hogs/Swine,animal,plant
Burke_Hill_Farm,,,Honey,animal,processed
C._A._Farm,,,Hops,flower,
Cabane_a_Sucre_Bergeron,,,Horses,animal,product
Calkins_Farm_Stand,,,Ice_Cream,dairy,restaurants
Casa_Cattle_Company,,,Kale,vegetables,retirementhomes
Cedar_Run_Farm,,,Kohlrabi,stem,root
Cellardoor_Winery,,,Lamb,meat,
Chez_Lonndorf,,,Leeks,stem,schoolsk-12
Christmas_Tree_Bazaar,,,Lentil,legumes,season
Cider_Hill_Maple_Farm,,,Lettuce,leaf,seed
Circle_B_Farms,,,Livestock,animal,stem
ClearView_Farm,,,Llama,animal,
Common_Wealth_Farm_LLC,,,Lumber,tree,thing
Cooper's_Maple_Products,,,Maple_Candy,animal,tree
Copper_Tail_Farm,,,Maple_Syrup,animal,tuber
Country_Charm_Farm_LLC,,,Meat_Goats,animal,
County_Fair_Farm,,,Milk,animal,unit
Crabtree's_Blueberries,,,Mushrooms,fungi,vegetable
Cranberry_Rock_Farm,,,Oats,grain,
Crestholm_Farm_Stand_and_Ice_Cream,,,Oilseed_Radish,root,stem
Cross_Patch_Farms,,,Onions,bulb,stems
D'Ameri_Acres,,,Parsnips,root,thing
Dad's_Maple_Sugar_Shack,,,Pastuerized_Cows_Milk,dairy,tree
Daily_bread,,,Peaches,fruit,tuber
Dancing_Badger_Farm,,,Pears,fruit,
Darthia_Farm,,,Peas,vegetable,
Davis_Stream_Tree_Farm,,,Peppers,vegetable,
Deer_Foot_Farm_LLC,,,Plums,fruit,
Double_Z_Land_and_Livestock,,,Poinsettias,flower,
Dow_Farm_Enterprise,,,Pointsettas,flower,
Down_on_the_Farm_Maine_Wreaths,,,Popcorn,vegetable,
Ducktrap_Valley_Maple_Farm,,,Pork,meat,
Dun-Roamin_Farm,,,Potatoes,vegetable,
Eagle_View_Gardens_and_Haunted_Trail_Pumpkins,,,Pumpkins,vegetable,
Ellie's_Daylily_&_Perennial_Gardens,,,Rabbit,meat,
Ellis_Greenhouses,,,Radishes,vegetable,
Embellished_Relish,,,Raspberries,fruit,
Emery_Farm,,,Raw_Cows_Milk,dairy,
Endless_Summer_Flower_Farm,,,Rhubarb,vegetable,
Estes_Farm,,,Rye,grain,
Eureka_Farms,,,Salad_Greens_and_Mixes,vegetable,
Evergreen_Acres_Tree_Farm,,,Salsa,processed,
Evergreen_Ridge_Alpaca,,,Sheep,meat,
Ewe_and_I_Farm,,,Sheeps_Milk,dairy,
Farm_in_the_Woods,,,Soaps,animal,
Farmer_in_the_Dell,,,Sorghum,vegetable,
Fenderson_Farm_Stand,,,Soybeans,vegetable,
Fiddlestick_Farm_LLC,,,Spelt,grain,
Field_of_Greens,,,Spinach,vegetable,
Fieldstone_Gardens_Inc.,,,Sprouts,vegetable,
Findview_Farm,,,Strawberries,fruit,
Fisher's_Christmas_Tree_Farm,,,Summer_Squash,vegetable,
Five_Fields_Farm,,,Sunflowers,grain,
Four_Duck_Pond_Greenhouse,,,Sweet_Corn,vegetable,
FOXGREEN_FARMS,,,Sweet_Potatoes,tuber,
